N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
126,7.2,433,7.5,0.65,0.98,8.75,0.52,3.15,1.05,7.15,0.9,1.6856,0
157,6.8,475,7.4,0.45,0.88,7.84,0.48,4.32,1.96,9.52,0.31,1.5136,0
201,6.6,655,7.6,0.64,0.1,6.33,0.41,1.69,1.57,11.05,0.53,0.172,0
257,8.6,465,7.4,0.44,0.78,4.52,0.36,6.23,0.68,14.15,0.4,1.3416,0
201,7.7,327,7.5,0.6,0.59,10.26,0.25,4.05,0.5,12.3,0.32,1.0148,0
257,6.4,422,7.5,0.59,0.39,5.43,0.28,2.68,1.26,19.21,0.55,0.6708,0
251,8.1,539,7.6,0.72,0.68,6.64,0.37,3.51,1.03,14.52,0.59,1.1696,0
201,4.8,496,7.5,0.53,0.49,5.43,0.25,5.69,2.02,7.68,0.65,0.8428,0
333,7,422,7.5,0.48,0.1,9.65,0.39,3.9,1.89,13.25,0.53,0.172,1
320,8.3,359,7.4,0.53,1.17,5.13,0.52,4.12,0.87,6.17,0.4,2.0124,1
232,5,560,7.4,0.76,0.29,4.25,0.42,2.05,1.05,12.05,0.31,0.4988,0
326,5.3,549,7.6,0.82,0.59,8.75,0.57,1.98,1.63,6.38,0.73,1.0148,1
195,5.5,507,7.4,0.61,0.1,10.86,0.35,3.25,0.78,4.51,0.21,0.172,0
345,6.8,496,7.7,0.57,0.88,9.65,0.29,6.3,1.51,9.32,0.34,1.5136,1
257,8.1,634,7.6,0.81,0.39,4.52,0.57,7.21,1.63,11.5,0.53,0.6708,1
251,4.8,444,7.4,0.54,0.59,7.24,0.48,4.15,0.98,13.52,0.4,1.0148,0
226,6.1,644,7.4,0.56,0.29,5.43,0.29,3.26,1.05,14.25,0.29,0.4988,0
264,7.2,496,7.6,0.62,0.1,9.95,0.34,6.53,1.87,6.25,0.42,0.172,1
213,6.8,612,7.7,0.6,0.78,5.13,0.51,1.87,1.6,9.32,0.25,1.3416,0
132,6.4,517,7.5,0.61,0.49,7.54,0.46,5.02,0.69,7.15,0.71,0.8428,0
195,6.6,750,7.5,0.53,0.68,5.73,0.28,6.33,0.7,11.56,0.78,1.1696,0
50,8.1,454,7.6,0.74,1.17,10.26,0.33,4.51,1.3,6.25,0.29,2.0124,0
201,5.3,634,7.5,0.68,0.88,4.52,0.51,6.23,1.89,7.05,0.53,1.5136,0
100,8.3,676,7.6,0.59,0.1,8.75,0.27,4.05,0.52,15.62,0.4,0.172,0
232,7,444,7.6,0.62,1.27,10.56,0.39,7.35,0.66,7.53,0.27,2.1844,0
69,5.9,612,7.6,0.52,0.68,4.22,0.51,6.49,1.05,9.32,0.31,1.1696,0
31,4.6,581,7.5,0.63,1.17,8.14,0.6,4.05,1.96,4.15,0.52,2.0124,0
63,8.3,496,7.4,0.62,0.88,6.94,0.57,6.32,1.32,12.58,0.63,1.5136,0
132,8.1,433,7.5,0.51,0.78,26.24,0.33,5.21,3.02,4.52,0.55,1.3416,0
201,8.6,507,7.7,0.72,0.1,4.22,0.49,8.51,0.75,6.32,0.76,0.172,0
358,8.3,338,7.4,0.64,0.78,7.54,0.35,2.48,1.53,11.89,0.5,1.3416,1
63,7,422,7.6,0.57,0.59,4.83,0.26,3.15,1.96,9.06,0.38,1.0148,0
195,7.5,444,7.5,0.64,0.15,9.9,0.34,3.77,0.97,7.83,0.17,0.258,0
207,5.9,507,7.5,0.55,0.44,3.8,0.35,3.24,0.88,7.94,0.19,0.7568,0
126,8.3,496,7.6,0.61,0.47,9.6,0.4,3.56,0.74,8.65,0.09,0.8084,0
88,7.2,391,7.6,0.63,0.29,6.5,0.26,3.66,0.54,8.4,0.08,0.4988,0
163,9,338,7.5,0.47,0.97,7.2,0.26,3.84,0.65,9.27,0.11,1.6684,0
138,7.7,454,7.6,0.58,0.32,7.5,0.33,3.94,0.6,9.04,0.12,0.5504,0
188,4.6,549,7.7,0.53,0.27,7.9,0.34,3.49,0.43,8.45,0.12,0.4644,0
195,8.3,475,7.6,0.42,0.15,11.3,0.29,3.56,0.55,8.66,0.17,0.258,0
195,8.1,327,7.61,0.67,0.21,8.6,0.23,3.43,0.7,8.53,0.18,0.3612,0
264,7.2,444,7.47,0.45,0.35,6.4,0.15,3.95,0.76,8.65,0.11,0.602,1
182,7.7,507,7.46,0.53,0.29,4.4,0.25,2.35,0.55,7.54,0.14,0.4988,0
188,5.3,496,7.52,0.44,0.35,13.1,0.36,3.19,0.69,7.99,0.17,0.602,0
132,6.8,570,7.43,0.52,0.38,8.9,0.36,2.96,0.8,8.66,0.18,0.6536,0
213,5.3,433,7.48,0.77,0.47,6.0,0.37,2.77,0.87,8.94,0.11,0.8084,0
144,8.3,370,7.46,0.68,0.53,3.7,0.25,2.55,0.99,8.35,0.08,0.9116,0
182,5.9,549,7.57,0.78,0.35,5.6,0.29,2.96,0.97,8.6,0.14,0.602,0
182,4.8,433,7.62,0.44,0.29,6.9,0.37,3.16,0.87,8.76,0.16,0.4988,0
132,7.2,560,7.54,0.81,0.12,7.2,0.39,3.53,0.95,9.23,0.18,0.2064,0
138,6.1,454,7.73,0.66,0.97,7.7,0.37,2.95,1.1,7.65,0.11,1.6684,0
207,5.9,391,7.58,0.78,0.76,8.9,0.29,2.54,1.2,7.9,0.13,1.3072,0
113,5,370,7.6,0.82,0.71,10.1,0.19,2.75,0.97,7.96,0.18,1.2212,0
220,7,359,7.67,0.78,0.35,9.6,0.29,2.6,0.85,8.27,0.11,0.602,0
126,8.1,338,7.4,0.67,0.29,9.9,0.34,2.66,0.97,8.55,0.12,0.4988,0
163,6.8,327,7.37,0.51,0.38,8.9,0.35,2.93,0.97,8.34,0.12,0.6536,0
201,7.7,454,7.31,0.44,0.47,9.0,0.26,3.24,1.05,8.45,0.11,0.8084,0
100,8.3,570,7.44,0.41,0.35,13.7,0.34,3.09,1.2,9.0,0.12,0.602,0
69,7,560,7.36,0.47,0.41,4.4,0.29,3.06,1.07,9.26,0.12,0.7052,0
289,7.9,465,7.42,0.43,0.35,8.9,0.36,3.24,0.77,9.73,0.14,0.602,1
333,7.5,507,7.53,0.54,0.44,9.6,0.23,2.75,0.85,8.45,0.17,0.7568,0
314,7.2,391,7.61,0.52,0.47,3.7,0.34,2.83,0.9,8.66,0.18,0.8084,1
301,6.8,496,7.57,0.68,1.0,13.1,0.25,2.65,0.97,8.34,0.11,1.72,1
289,8.3,507,7.45,0.49,0.29,4.6,0.4,2.96,0.97,8.25,0.12,0.4988,1
220,5.9,454,7.43,0.67,0.12,8.9,0.33,3.14,0.85,8.97,0.12,0.2064,0
232,7.7,549,7.38,0.43,0.44,7.2,0.34,3.25,0.74,8.37,0.17,0.7568,0
176,7.5,539,7.54,0.65,0.47,6.9,0.35,3.54,0.85,9.05,0.18,0.8084,0
188,6.4,496,7.59,0.48,0.35,7.2,0.34,2.76,1.0,9.76,0.11,0.602,0
88,6.8,539,7.43,0.52,0.53,4.4,0.25,2.84,0.83,9.84,0.12,0.9116,0
82,7.5,507,7.61,0.47,0.5,11.3,0.37,2.96,0.94,8.94,0.17,0.86,0
169,5.9,338,7.57,0.41,0.65,8.6,0.27,3.15,0.99,9.09,0.19,1.118,0
245,6.1,496,7.42,0.58,0.24,2.5,0.24,2.84,0.94,7.73,0.07,0.4128,0
270,7.9,253,7.48,0.57,0.59,3.1,0.24,2.49,0.52,7.74,0.14,1.0148,1
345,8.1,338,7.31,0.41,0.85,6.0,0.34,2.42,0.65,8.64,0.15,1.462,1
333,7.7,275,7.54,0.55,0.47,7.5,0.36,2.53,0.46,8.66,0.18,0.8084,1
282,6.8,306,7.29,0.62,0.44,6.4,0.27,2.65,0.57,8.45,0.1,0.7568,1
282,8.3,486,7.47,0.51,0.71,3.2,0.26,2.66,0.64,8.57,0.14,1.2212,1
270,8.1,296,7.41,0.63,0.76,4.2,0.34,2.48,0.63,8.67,0.15,1.3072,1
289,6.1,359,7.39,0.58,0.44,6.0,0.33,2.36,0.66,7.73,0.09,0.7568,1
201,7.5,391,7.41,0.54,0.53,7.2,0.23,2.38,0.77,7.84,0.22,0.9116,0
213,8.3,444,7.35,0.67,0.88,6.3,0.26,2.28,0.48,8.44,0.24,1.5136,0
270,6.4,539,7.57,0.61,0.26,4.8,0.27,2.47,0.52,6.95,0.21,0.4472,1
207,5.9,348,7.54,0.59,0.29,3.0,0.37,3.44,0.64,7.46,0.18,0.4988,0
295,8.3,602,7.68,0.51,0.62,3.1,0.34,2.54,0.43,7.32,0.1,1.0664,1
251,5.3,338,7.73,0.57,0.82,3.2,0.23,2.68,0.44,7.24,0.09,1.4104,0
276,6.8,507,7.51,0.41,0.5,4.0,0.24,2.67,0.57,6.44,0.18,0.86,1
163,7.5,359,7.62,0.67,0.47,4.5,0.24,2.75,0.64,6.56,0.21,0.8084,0
213,7,327,7.71,0.67,0.74,5.1,0.25,3.46,0.76,8.47,0.1,1.2728,0
207,6.1,454,7.4,0.43,0.12,2.5,0.35,3.93,0.88,8.68,0.06,0.2064,0
200,6.8,391,7.67,0.72,0.35,3.0,0.37,2.93,0.96,8.65,0.07,0.602,0
301,7.2,412,7.71,0.64,0.32,4.0,0.29,2.63,0.83,7.76,0.09,0.5504,1
188,6.4,422,7.78,0.56,0.53,4.2,0.23,2.72,0.43,7.74,0.08,0.9116,0
201,7.5,465,7.71,0.48,0.5,5.1,0.22,2.87,0.72,7.72,0.18,0.86,0
207,5.9,243,7.62,0.45,0.76,7.2,0.24,2.47,0.73,7.63,0.21,1.3072,0
307,6.6,401,7.53,0.71,0.82,3.0,0.34,2.93,0.67,7.84,0.24,1.4104,1
207,7.7,380,7.64,0.67,0.26,4.2,0.26,3.93,0.68,8.85,0.27,0.4472,0
326,8.3,285,7.38,0.82,0.88,4.3,0.27,3.63,0.63,8.96,0.18,1.5136,1
270,6.8,296,7.59,0.33,0.56,5.1,0.26,3.74,0.74,8.73,0.15,0.9632,1
195,4.8,496,7.43,0.67,0.85,3.5,0.27,2.45,0.74,6.73,0.18,1.462,0
182,8.3,338,7.61,0.58,0.88,4.2,0.26,2.56,0.71,7.83,0.16,1.5136,0
295,4.8,348,7.77,0.61,0.24,2.5,0.25,2.84,0.12,7.73,0.07,0.4128,1
151,7.5,327,7.63,0.73,0.29,4.8,0.33,2.49,0.63,7.23,0.18,0.4988,0
333,5.9,391,7.44,0.66,0.26,5.0,0.26,3.51,0.25,7.35,0.15,0.4472,1
157,6.4,327,7.45,0.34,0.5,5.1,0.35,2.56,0.14,8.75,0.14,0.86,0
370,5,496,7.62,0.41,0.76,6.2,0.34,2.44,0.25,8.36,0.09,1.3072,1
163,5.9,317,7.43,0.38,0.59,3.5,0.34,3.43,0.16,8.32,0.1,1.0148,0
377,6.8,327,7.51,0.85,0.26,4.0,0.25,3.63,1.08,7.84,0.13,0.4472,1
